ccl_name	cpd_name	area_under_curve
U2OS	zebularine	6.0416
U2OS	maraviroc	6.8981
U2OS	DL-TBOA	6.8593
U2OS	triptolide	2.1664
U2OS	Bax channel blocker	5.2507
U2OS	CCT036477	6.5582
U2OS	sirolimus	4.8912
U2OS	OSW-1	0.78231
U2OS	brefeldin A	4.5117
U2OS	itraconazole	6.3121
U2OS	dexamethasone	6.4561
U2OS	teniposide	5.4168
U2OS	ML162	4.3306
U2OS	SN-38	6.1565
U2OS	ciclosporin	6.5067
U2OS	PK-11195	6.2055
U2OS	isoevodiamine	5.3211
U2OS	idarubicin	6.5709
U2OS	Compound 44	5.6399
U2OS	blebbistatin	6.3789
U2OS	myriocin	6.6982
U2OS	etoposide	5.5127
U2OS	oligomycin A	5.0611
U2OS	chaetocin	4.7771
U2OS	RITA	7.0301
U2OS	tubastatin A	5.778
U2OS	3-chloro-L-alanine	4.61
U2OS	BMS-299897	6.6224
U2OS	Compound 110	5.0502
U2OS	Merck60	5.5689
U2OS	BIBR-1532	6.2531
U2OS	LDN-193189	3.4335
U2OS	ML030	5.5891
U2OS	ubistatin B	4.884
U2OS	LE-135	6.4097
U2OS	rotenone	6.5074
U2OS	FGIN-1-27	6.6711
U2OS	avrainvillamide	5.2444
U2OS	SR-II-138A	4.315
U2OS	BEZ235	3.7451
U2OS	TG-101348	3.9813
U2OS	4-methylfasudil	5.2459
U2OS	XAV-939	6.7266
U2OS	BMS-754807	4.8556
U2OS	BRD6368	4.6483
U2OS	gemcitabine	5.572
U2OS	Compound 4	6.7014
U2OS	Gly-Gly-PALO	7.0079
U2OS	SCH-79797	1.6848
U2OS	HLI 373	5.5216
U2OS	indisulam	5.7971
U2OS	Compound 10b	6.15
U2OS	dalcetrapib	6.937
U2OS	leucascandrolide A	1.8706
U2OS	gossypol	6.5767
U2OS	MST-312	3.5695
U2OS	tamatinib	4.6983
U2OS	SKI-II	5.4305
U2OS	simvastatin	6.7289
U2OS	piperlongumine	4.3791
U2OS	4-IPP	6.21
U2OS	CD-1530	6.101
U2OS	austocystin D	0.069873
U2OS	cytochalasin B	4.2825
U2OS	BIX-01294	4.8621
U2OS	ML007	6.8536
U2OS	CD-437	4.2047
U2OS	Compound 1541A	5.9095
U2OS	PP-30	5.6787
U2OS	VER-155008	6.5492
U2OS	etomoxir	6.8989
U2OS	AGK-2	5.7934
U2OS	BMS-536924	4.8958
U2OS	glibenclamide	6.7513
U2OS	LY-2183240	4.7976
U2OS	nakiterpiosin	4.2613
U2OS	MK-591	5.4834
U2OS	ML159	6.9164
U2OS	Compound 12	6.7422
U2OS	2,4-dideoxy-DC-45-A2	6.7012
U2OS	NVP-AUY922	3.8654
U2OS	vismodegib	6.8144
U2OS	JZL-184	6.6923
U2OS	GMX-1778	2.556
U2OS	BX-795	4.1527
U2OS	BMS-641988	6.7149
U2OS	P-0850	5.8201
U2OS	PIK-75	6.3748
U2OS	PRIMA-1-Met	6.5874
U2OS	TTNBP	6.5544
U2OS	capsaicin	5.6685
U2OS	ML160	6.5969
U2OS	ML150	6.559
U2OS	cerulenin	5.7568
U2OS	AZD-7545	6.9062
U2OS	tivozanib	6.895
U2OS	BEC	7.0798
U2OS	BRD55319	6.1701
U2OS	CHEMBL1222381	3.211
U2OS	MK 1775	2.1821
U2OS	pemetrexed	6.8166
U2OS	ABT-737	6.7599
U2OS	BRD4372	6.9169
U2OS	CHEMBL374350	6.2417
U2OS	serdemetan	6.5324
U2OS	SB-225002	4.8433
U2OS	Compound 7d-cis	5.5584
U2OS	neopeltolide	3.5081
U2OS	tipifarnib-P2	5.0157
U2OS	tipifarnib-P1	5.8259
U2OS	ATRA	6.7517
U2OS	Ko-143	6.4679
U2OS	BI-2536	2.3962
U2OS	quinoclamine	5.3569
U2OS	Compound 23 citrate	5.4005
U2OS	MLN-4924	2.809
U2OS	PI-103	5.4499
U2OS	NSC95397	6.2377
U2OS	PF-3845	6.8899
U2OS	SNX-2112	5.7385
U2OS	BRD4770	4.7755
U2OS	BRD1812	6.9844
U2OS	NSC632839	4.375
U2OS	WT-161	5.4572
U2OS	N-oxalyl-D-phenylalanine	6.838
U2OS	losartan	6.8257
U2OS	YM-155	2.0261
U2OS	manumycin A	6.2153
U2OS	DC-45-A2	5.0752
U2OS	triacsin C	6.8403
U2OS	ML203	6.58
U2OS	vorinostat	2.093
U2OS	tanespimycin	5.4653
U2OS	navitoclax	7.0126
U2OS	batimastat	6.7464
U2OS	PF-750	6.4835
U2OS	BRD63610	3.9585
U2OS	neratinib	4.1401
U2OS	cytosporone B	6.7277
U2OS	UNC0638	5.8489
U2OS	tozasertib	5.117
U2OS	bortezomib	4.1384
U2OS	GW-843682X	5.6625
U2OS	CID 2853753	6.257
U2OS	ABT-751	4.41
U2OS	BRD7137	3.878
U2OS	2-bromopyruvate	6.7273
U2OS	PAC-1	4.2982
U2OS	AC55649	6.938
U2OS	tamoxifen	4.9915
U2OS	kinetin riboside	3.4112
U2OS	BMS-191011	6.3399
U2OS	nifedipine	6.5747
U2OS	pifithrin-mu	6.4205
U2OS	16-beta-bromoandrosterone	6.6213
U2OS	fatostatin	6.6223
MCF7	zebularine	6.7903
