ccl_name	ccl_synonym	ccle_primary_site	ccle_hist_subtype_1	growth_mode	cells_per_well	culture_media	master_ccl_id
U2OS	U-2 OS	BONE		adherent	2000	DMEM001	1226
MCF7	MCF7_CMAP	BREAST		adherent	1000	DMEM001	646
GAMG		CENTRAL_NERVOUS_SYSTEM		adherent	1000	DMEM001	268
LN229	LN-229	CENTRAL_NERVOUS_SYSTEM		adherent	2000	DMEM009	606
SF295	SF-295	CENTRAL_NERVOUS_SYSTEM		adherent	1000	RPMI001	1018
HEC108	HEC-108	ENDOMETRIUM		adherent	2000	EMEM002	350
HEC151	HEC-151	ENDOMETRIUM		adherent	2000	EMEM002	351
HEC251	HEC-251	ENDOMETRIUM		adherent	1000	EMEM002	354
HEC265	HEC-265	ENDOMETRIUM		adherent	1000	EMEM002	355
HEC59	HEC-59	ENDOMETRIUM		adherent	2000	EMEM002	357
HEC6	HEC-6	ENDOMETRIUM		adherent	1000	EMEM002	358
ISHIKAWAHERAKLIO02ER	Ishikawa (Heraklio) 02 ER-	ENDOMETRIUM		adherent	500	MEM002	479
JHUEM2	JHUEM-2	ENDOMETRIUM		adherent	3000	DMEMF12003	498
KLE		ENDOMETRIUM		adherent	2000	DMEMF12003	534
MFE319	MFE-319	ENDOMETRIUM		adherent	1000	RPMI001	672
SNGM	SNG-M	ENDOMETRIUM		adherent	2000	HAMSF12002	1074
AMO1	AMO-1	HEMATOPOIETIC_AND_LYMPHOID_TISSUE	PLASMA_CELL_MYELOMA	suspension	5000	RPMI003	49
BL70	BL-70	HEMATOPOIETIC_AND_LYMPHOID_TISSUE		suspension	3000	RPMI012	75
EJM		HEMATOPOIETIC_AND_LYMPHOID_TISSUE	PLASMA_CELL_MYELOMA	suspension	3000	IMDM002	240
GDM1	GDM-1	HEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACUTE_MYELOID_LEUKEMIA	suspension	1000	RPMI001	272
HT		HEMATOPOIETIC_AND_LYMPHOID_TISSUE		suspension	5000	RPMI001	445
KE97	KE-97	HEMATOPOIETIC_AND_LYMPHOID_TISSUE	PLASMA_CELL_MYELOMA	suspension	500	RPMI001	527
